Id,Title,Author,Year,Pages,Genre,Finished,Rating
384927,"Echoes of the Iron Moon","Lydia Harcourt",2012,482,Fantasy,yes,4.3
271650,"The Algorithmic Heart","Rafael Montes",2021,356,Software,y,4.8
905412,"Whispers Beneath the Canal","Ingrid Sørensen",1999,412,Mystery,no,3.9
138674,"Fire Over the Steppes","Dmitri Kalenkov",1967,578,History,yes,4.1
694203,"Love in the Glass City","Carla Domínguez",2015,304,Romance,yes,3.7
507819,"Binary Dreams","Kenji Morimoto",2018,275,Sci-Fi,n,4.6
852730,"The Painter’s Confession","Margaret Eddison",1983,449,Biography,yes,3.8
614592,"Chronicles of the Amber Coast","Tobias Reinhardt",2007,627,Fantasy,no,4.0
973851,"Quantum Gardens","Sarah Wu",2020,391,Sci-Fi,yes,4.9
226745,"The Silent Violinist","Giulia Ferraro",1954,231,Mystery,yes,3.6
578312,"Winds of the Forgotten Bay","Arthur Leclerc",1975,688,Romance,n,3.5
745160,"Digital Leviathan","Marcus E. Trane",2023,512,Software,yes,4.4
361287,"A Map of Lost Kingdoms","Nadia Ferrel",2002,723,Fantasy,yes,4.2
819634,"The Last Emperor’s Scribe","Bao Liang",1778,534,History,no,3.3
190578,"Letters to the End of Time","Eleanor Brant",2016,298,Sci-Fi,y,4.7
